,Unnamed: 0,category,tech1,description,fit,title,also_buy,image,tech2,brand,feature,rank,also_view,details,main_cat,similar_item,date,price,asin
26,247,,,"['An exotic blend of mixed berry accents and black pepper create the exhilarating after shave fragrance of lustray blue spice. This initial bloom begins to develop into a warm combination of cinnamon, bay leaf, acumin, red rose, and frankincense. The mystery of frankincense, otherwise known as precious woods and musk, is what surrounds the senses and invigorates the skin.']",,"Clubman Lustray Blue Spice After Shave, 128 Fluid Ounce","['B012O3DU7U', 'B01FT6TMQM', 'B001AS5PV0']",,,Clubman,,"803,553 in Beauty & Personal Care (","['B07BRVW5G1', 'B0777KX3WF', 'B07FYDF164', 'B000CEQZZS', 'B07FYB5NF9', 'B07BML1XZZ', 'B000143NTK', 'B07BYM4DDS', 'B0068T115K', 'B07CB4F4XW', 'B07BVQLYLC', 'B077QTYFM9', 'B0072CZ4MI', 'B01JF0BL1M', 'B0095PLXU2', 'B07C8Q699P', 'B07B9TLBJZ', 'B00858TA46', 'B072FNLC94', 'B07BV9J5HX', 'B07FYDF16Z', 'B003ZWQ3HY', 'B002BDVRF6', 'B07CRC79XF', 'B0077S723G', 'B00CCFVKQ4', 'B00C4ABU7Q', 'B076DLKWSS', 'B000C2370G', 'B0085UECY2', 'B00ZQOE902', 'B0095RZ4UK', 'B07GVR3XW2', 'B0017WNSBS', 'B0055DT4YU', 'B01GFYWYC6', 'B0066GR55K', 'B00MDNP3A4', 'B07FY12YYR', 'B00JY16C76', 'B001AS5PV0', 'B00133XNSY', 'B00C4ABUG2', 'B0042510RQ', 'B014MVW5BE', 'B00WP00U58', 'B00H4CR2MG', 'B078JVQKM6', 'B0125OTICO', 'B07G8MPT3N', 'B00SJ4S7XG', 'B000IX1D50', 'B001E4HRVQ', 'B00BLVSY2S', 'B01JLVRE4I', 'B0196I9PWA', 'B07CH3WJGK', 'B002HSM6BO', 'B01I9TPH1U']","{'\n    Product Dimensions: \n    ': '5 x 5 x 12 inches ; 7.4 pounds', 'Shipping Weight:': '7.8 pounds (', 'Domestic Shipping: ': 'Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.', 'International Shipping: ': 'This item is not eligible for international shipping.', 'ASIN: ': 'B001E5PLCM', 'UPC:': '070066904185', 'Discontinued by manufacturer:': 'Yes'}",All Beauty,,,$44.99,B001E5PLCM
27,251,,,"['Reach Dentotape has an extra-wide cleaning surface, making it more effective for plaque removal from larger spaces.']",,"REACH Dentotape Waxed Tape, Unflavored 100 Yards (Pack of 4)",['B000052YAN'],"['https://images-na.ssl-images-amazon.com/images/I/411HIKZv1qL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31j6zEP1VxL._SS40_.jpg']",,Reach,,"96,501 in Beauty & Personal Care (","['B003XDVERE', 'B00E5ND76W', 'B01I9TJRN4', 'B07H9FS7XM', 'B06ZXY8YBJ', 'B01M2693FK', 'B0722XHMGZ', 'B01MAYB60W', 'B078YFQ5VF', 'B005M35IRU', 'B00IAJEBE4', 'B0087W2ZME', 'B01IKD74NY', 'B06XS39KL4', 'B012O5008K', 'B00MUEGLNO', 'B07LDJB8MH', 'B011W3GGSS', 'B07H3HDBPZ', 'B001QU38IY', 'B013EK49VI', 'B01ENYQSZO', 'B01I9TLELM', 'B07LGFPMCJ', 'B0738PC4D3', 'B07H13GWT9', 'B000052YAI', 'B01LMLKTDI', 'B01JS1KMAO', 'B011IDBQH8', 'B0792PX45P', 'B001F51RAG', 'B01DKVZYME', 'B079KL843V', 'B00J7G8EL0', 'B005MJ5DJ2', 'B00240UWGG', 'B07L5HV214', 'B006JK91V4', 'B001E96P6E', 'B00LPQ63AE', 'B005M360C2', 'B01I9TJMRU', 'B00I8UAOFK', 'B00578Z5SW', 'B013PUH33I', 'B07CPLQW13', 'B074W58X3F', 'B0000C4KJV', 'B00119TXPW', 'B000B9UWQ2', 'B00240MO2G', 'B013L7GNQI', 'B004L4EJQ2', 'B07C2WSDV5']","{'\n    Product Dimensions: \n    ': '4.9 x 4.8 x 2.2 inches', 'Shipping Weight:': '5.9 ounces (', 'ASIN: ': 'B001E96P6O'}",All Beauty,,,$12.08,B001E96P6O
28,254,,,"['', ""Green People - one of the biggest names in organic beauty in the UK - is a forward-thinking family owned company specialising in organic body care products,&nbsp;The Green People Mission is to promote an organic lifestyle and provide high quality, truly organic, natural cosmetic and skincare products.<br/><br/>The Green People's Mission is to promote an organic lifestyle and provide high quality, truly organic, natural cosmetic and skincare products.<br/>To support charities with related health and environmental concerns.&nbsp;Green People are committed to offering products that are 100% natural, certified organic and highly effective."", ""A gentle, fragrance-free natural conditioner for sensitive scalps it uses natural plant extracts and nutritious oils to boost your hair's condition, it's made for silkier, easier to manage locks.&nbsp;Rich in essential vitamins to ensure healthy hair for the whole family, the&nbsp;Green Tea helps to strengthen hair and improves shine.""]",,Green People - Scent Free Conditioner - 200ml,['B000WGZ3UE'],"['https://images-na.ssl-images-amazon.com/images/I/41Wqovj-NQL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51hVC%2BbQSFL._SS40_.jpg']",,Green People,,"440,706 in Beauty & Personal Care (","['B000OEVO02', 'B07B7HVPCB']","{'\n    Product Dimensions: \n    ': '1.8 x 3 x 7.3 inches ; 7.2 ounces', 'Shipping Weight:': '7.8 ounces (', 'ASIN: ': 'B001ENL7HW', 'UPC:': '190283221695 797142350680 749447254507 730158466297 190283331622', 'Item model number:': 'GP-H005'}",All Beauty,,,$20.36,B001ENL7HW
29,267,,,"['Long lasting Lipstick locks colour to lips for up to 8 hours wear. 50% more colour. Soft, smooth, comfortable formula.']",,Rimmel Lasting Finish Lipstick Frosted,['B006WZ9ZHQ'],['https://images-na.ssl-images-amazon.com/images/I/51RtUEeREKL._SS40_.jpg'],,Rimmel,,"463,519 in Beauty & Personal Care (","['B07M8PY3QW', 'B07M5JFHGS', 'B07KWWKYXM', 'B07G38B6F8']","{'\n    Product Dimensions: \n    ': '2.9 x 0.6 x 0.4 inches', 'Shipping Weight:': '0.6 ounces', 'ASIN: ': 'B001KYNZ5M', 'Item model number:': '34002933272'}",All Beauty,,,,B001KYNZ5M
30,269,,,"['Long lasting Lipstick locks colour to lips for up to 8 hours wear. 50% more colour. Soft, smooth, comfortable formula.']",,Rimmel Lasting Finish Lipstick Coffee Shimmer,"['B0067JFIFA', 'B003ZC80HU', 'B010V6KKT8', 'B0058H0GA4']","['https://images-na.ssl-images-amazon.com/images/I/21TCStAJX3L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51xjmafub5L._SS40_.jpg']",,Rimmel,,"234,838 in Beauty & Personal Care (","['B07M5JFHGS', 'B00QIT6EBQ', 'B07KWWKYXM', 'B07BSYFK1D', 'B06XCQZDKV', 'B06XCNQYJC', 'B0047X594I', 'B0067K30I6', 'B0067JFIFA', 'B01I9TMQYG', 'B00BQPFK8A', 'B01LTHKU4S', 'B06XRXVSS3', 'B06XCRP684', 'B00QIT7M26', 'B07L3VBM48', 'B07L446JFF', 'B07KSGR89H', 'B01N7PO5KW', 'B07G38B6F8', 'B001V9LAQC', 'B005CYKFBI', 'B00MSKWPL2', 'B00A90IX78', 'B01LTHKU5W', 'B00AS4F7LU', 'B01NH0GYC1', 'B004BCVD4U', 'B00GGQJ4PY', 'B01LZ5TJUV', 'B07JFC699H', 'B07F25WF9G', 'B010V6KKT8', 'B00PXZQQ7I', 'B079ZD382L', 'B00U5ZH9Y0', 'B004GIHYTC', 'B07FD34BM8', 'B07DNTGT59', 'B01GR304KO', 'B01DPA7WL6', 'B004LXJVC0', 'B01LTHKU98', 'B01LTHKU70', 'B011RPDH7E', 'B07BZLGBGV', 'B071LD8HFW', 'B01DPA7SQU', 'B07G2QP4PM', 'B01MDJHSG6', 'B01CH26USY', 'B00IZAWBJU', 'B0067JIT88']","{'\n    Product Dimensions: \n    ': '6.5 x 5.2 x 0.6 inches ; 0.8 ounces', 'Shipping Weight:': '0.8 ounces', 'ASIN: ': 'B001KYQ4EG', 'Item model number:': '34002933264'}",All Beauty,,,,B001KYQ4EG
31,314,,,"[""Murray's uses the finest imported beeswax to help lock your style in place. The ultra rich formula will add shine, reduce itching and fight frizz. The cream will wash out easily with no build up and help extend the life of your style.""]",,"Murray's Beeswax, Cream, 6 Ounce",['B00AU62JG2'],"['https://images-na.ssl-images-amazon.com/images/I/51dnM1Vmz9L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51V1WcqgGvL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51nGsAfrw2L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/319F-d2K4-L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41PIyQJ9XoL._SS40_.jpg']",,Murray's,,"218,996 in Beauty & Personal Care (","['B07KMMZZMV', 'B07C88P587', 'B01BERA4KI', 'B00HDHQQCE', 'B016OWPQGK', 'B07CRBZQL3', 'B00I5728LO', 'B00FG8BSOI', 'B00LNMYF3C', 'B00JE8SF1K', 'B00RQN0QH6', 'B0095YMX5M', 'B00323JX5K', 'B00AU62JG2', 'B06WV9PB8B', 'B017KT2PLK', 'B07J6P5YPT', 'B002QDU6Z8', 'B07DQSMMTB', 'B005NISGVE', 'B00WKR4HRI', 'B07BB2R8ZG', 'B07DD237YM', 'B001T8KQ7Y', 'B00IAAHUYQ', 'B0763S44HC', 'B077YT9RQ5', 'B077V3YFTR', 'B00I3CNOCS', 'B01I9TNU00', 'B01LWX2IO1', 'B06Y52ZY7P', 'B071YS6Y92', 'B011E50720', 'B01M057MRA', 'B003N41WWA', 'B07KZRXQMN', 'B00Y16H9OY', 'B000P0F91K', 'B078PVQC11', 'B07CCZGSH6', 'B01BV3JLF4', 'B01LZA9P8L', 'B07BZY4LGQ', 'B01EU0G73Y', 'B002QDQ4KE', 'B00UL3RMFW', 'B01JQ5ZUHM', 'B01JV9DJ12', 'B078PN6XMP', 'B07BTZC645', 'B07C19P64Q', 'B013C6LKKC', 'B07JN5GVMW', 'B0727XT637', 'B007PU3EIS', 'B000TAI7A6', 'B00J5RQ968']","{'\n    Product Dimensions: \n    ': '3 x 2 x 1 inches', 'Shipping Weight:': '5.6 ounces (', 'Domestic Shipping: ': 'Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.', 'International Shipping: ': 'This item can be shipped to select countries outside of the U.S.', 'ASIN: ': 'B002AL0MZ0', 'UPC:': '730158150219 755332362424 880147855349 074704268004', 'Item model number:': 'MR-011'}",All Beauty,,,$6.68,B002AL0MZ0
32,322,,,['Professional electric filing system for manicures and pedicures.'],, Medicool&#39;s MED2191 Turbo File 2 Professional Electric Nail Filing System,['B018J05XSQ'],"['https://images-na.ssl-images-amazon.com/images/I/31zww%2BkhDZL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31zww%2BkhDZL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31zww%2BkhDZL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51WRs2Lw-qL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41KBlyBheQL._SS40_.jpg']",,Medicool,,"98,940 in Beauty & Personal Care (","['B07CYW91H1', 'B013SDMZVM', 'B000QT9OP2', 'B005Q80W5E', 'B07JYF9XTG', 'B07M5J1R22', 'B000S17FUO', 'B07L9TVHGR', 'B01NAHKW4Q', 'B00563OUZC', 'B014U53EY4', 'B01GY81AIW', 'B07K1CV6MT', 'B01F4KCK5I', 'B008FMRQDE', 'B00YU0IBTS', 'B001QZ5LPC', 'B07L9SFMHG', 'B07J9VK4DF', 'B00OC4G6FS', 'B0798M264P', 'B07HMSZCPY', 'B07C13FPXC', 'B07DZT544R', 'B071HHRJS8', 'B06XCLQM6Y', 'B016Z6Q57Y', 'B06XSDYFNC', 'B01995WSO2', 'B07MB1Q7VV', 'B07J3TRF2W', 'B00P1PWDE0', 'B07L5F4VNZ', 'B0717745JP', 'B0755VCPQF', 'B07KWNFMKV', 'B07KK74GVH', 'B076RL2R2G', 'B01B60OHQ0', 'B002BACCDA', 'B07FKLTLF9', 'B0171UR798', 'B06XJ64173', 'B07G6DCSKD', 'B07G9B725B', 'B07CPMGSRN']","{'\n    Product Dimensions: \n    ': '6 x 3 x 6.8 inches ; 1.8 pounds', 'Shipping Weight:': '1.8 pounds (', 'Domestic Shipping: ': 'Item can be shipped within U.S.', 'International Shipping: ': 'This item is not eligible for international shipping.', 'ASIN: ': 'B002NGMEQM', 'UPC:': '887417552274 883413036480 036765510713', 'Item model number:': 'MED2191'}",All Beauty,,,$61.29,B002CMSCJU
33,343,,,"['This classy and stylish soap bar from Primal Elements has often been imitated but never duplicated, the eye catching images are visually unique, while our creative fragrances truly set our products apart. Made with the finest ingredients to create a luxurious lather that rinses cleanly away, the rich soap leaves skin cleansed and moisturized.']",,"Primal Elements Bar Soap in Shrinkwrap, Penguins, 6 Ounce",['B0012KGZG0'],['https://images-na.ssl-images-amazon.com/images/I/316dJAEDPhL._SS40_.jpg'],,Primal Elements,,"853,778 in Beauty & Personal Care (","['B001SKWAG8', 'B00355CHPI', 'B00JEMGL3U', 'B00355GCS6', 'B00JLV1O86', 'B06WRNZLFQ', 'B00355EOHW', 'B00355AJ58', 'B013JB5ZSI', 'B00JEMG9M8', 'B07KVHM3WS', 'B002WPNGY8', 'B00355HG0Y', 'B0010OHLHU', 'B00355EP12', 'B00355GCU4', 'B07DDQ7QRF', 'B00355EOW2', 'B07M9F98LY', 'B0010OMJRC', 'B0012KCU3M', 'B0759VS9Y7', 'B00C2NH0BA', 'B002XVHKSY', 'B07L7SZ25J', 'B013JB6K4G', 'B00JE9ALIO', 'B00HOR5XAO', 'B017L2W41C', 'B00355CHCG', 'B07C582GVW', 'B010GSMXYG', 'B0012KIAFE', 'B01BMDG3Y0', 'B0010OMJT0', 'B00169K1EE', 'B002OEC6S4', 'B00KISO316', 'B07B6JMX3X', 'B07KVGG5WT', 'B003558NWO', 'B01C4TEGEU', 'B078SP1469', 'B0759RV5RV', 'B01CM7QUP2', 'B00K29Y0JQ', 'B06XP6WBBD', 'B01J5UMQLG', 'B07L6MCY21', 'B00355AJU8', 'B008D5846Q', 'B002KFQE6C', 'B002OEC6VQ', 'B0184GYUS4']","{'\n    Product Dimensions: \n    ': '4 x 1 x 2.9 inches ; 6.4 ounces', 'Shipping Weight:': '1 pounds (', 'Domestic Shipping: ': 'Item can be shipped within U.S.', 'International Shipping: ': 'This item is not eligible for international shipping.', 'ASIN: ': 'B003558O1E', 'UPC:': '796433476993 787461426234 640986103038', 'Item model number:': 'SPPEN'}",All Beauty,,,$6.95,B003558O1E
34,351,,,"[""These disposable, super thin dress shields are soft and feminine, taking advantage of the latest technology in absorbent fibers. Each garment protecting pad has Hollywood's famous fashion tape adhesive strip on the outside of the pad. You simply adhere the shield to your underarm seam to keep in place. The outside of the dress shield is moisture-proof while the inside is soft like a baby's diaper. When done wearing you simply discard.""]",,"Garment Underarm Apparel Shields, Original Thin Version 10 pieces Hollywood Fashion Secrets",['B004XXKIGQ'],"['https://images-na.ssl-images-amazon.com/images/I/41WZPwZT11L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41KR1%2BwxSuL._SS40_.jpg']",,Hollywood Fashion,,"328,001 in Beauty & Personal Care (",,"{'\n    Item Weight: \n    ': '1.76 ounces', 'Shipping Weight:': '1.6 ounces (', 'ASIN: ': 'B003J5Y4MI'}",All Beauty,,,$13.00,B003J5Y4MI
35,353,,,"['Lean back in your desk chair and think of a tropical place, such as Fiji. Can you smell it? You probably cant, because your boss is watching you on those closed-circuit cameras. So spray on some Old Spice Fiji before going to work, and while your boss smells like the inside of a closed-circuit camera booth, you ll smell like tropical freshness and sunshine.', '<div class=""aplus""> <div class=""three-fourth-col""> <div class=\'leftImage\' style=\'width: 320px;\'> <img src=\'https://images-na.ssl-images-amazon.com/images/G/01/aplus/detail-page/B003KWOOMK_oldspice_201306132_4627.jpg\' alt=\'Old Spice\' width=\'285\' height=\'285\'/> </div>', 'Lean back in your desk chair and think of a tropical place, such as Fiji. Can you smell it? You probably cant, because your boss is watching you on those closed-circuit cameras. So spray on some <b>Old Spice Fresh Collection Fiji Body Spray</b> before going to work, and, while your boss smells like the inside of a closed-circuit camera booth, youll smell like tropical freshness and sunshine.', 'Grab your scent-seeking Geiger counter and start combing the beach of freshness, for you are about to be rich beyond your wildest dreams. No, not from precious metals. But from the rich scents of the complete Fresh Collection.', '<b>Anti-Perspirant & Deodorant</b><br>Reduces sweat', '<b>Long-Lasting Stick Deodorant</b><br>A scent with staying power', '<b>Body Spray</b><br>Turn up your man-smell', '<b>Body Wash</b><br>Drop-kicks dirt and odor', '<b>What are the pros of procuring this product?</b>', '<b>What are the cons of procuring this product?</b>', '<b>What if my current soap isnt manly enough?</b><br>Try Old Spice Body Wash.', '<b>What if I smell like a turtle cage?</b><br>Try Old Spice Deodorant.', '<b>What if I want to slap the smell of America on my face?</b><br>Try an Old Spice fragrance in Aftershave or Cologne.', '<b>What if my armpits spring a leak?</b><br>Try Old Spice Anti-Perspirant.', '<b>What if Ive lost my man-smell?</b><br>Try Old Spice Body Spray.', 'Take a scentspedition through the heart of freshness with these Fresh Collection smells.']",,Old Spice Fresh Collection Fiji Scent Men's Body Spray 4 Oz (Pack of 3),['B0071CRJDQ'],,,Old Spice,,"476,304 in Beauty & Personal Care (","['B01I9TNX16', 'B00IDYI638', 'B07CNBZ8ZZ', 'B00VE3M2J4', 'B00IDF5VFS', 'B011U0IV1I', 'B003F8Q3UU', 'B07C5D4RN5', 'B01I9TIHLC']","{'\n    Product Dimensions: \n    ': '0.8 x 0.8 x 2.1 inches ; 0.32 ounces', 'Shipping Weight:': '1 pounds', 'Domestic Shipping: ': 'This item can only be shipped to the 48 contiguous states and to APO/FPO/DPO addresses. For APO/FPO/DPO shipments, please check with the manufacturer regarding warranty and support issues.', 'International Shipping: ': 'This item is not eligible for international shipping.', 'ASIN: ': 'B003KWOOMK', 'UPC:': '012044016930', 'Item model number:': 'NA'}",All Beauty,,,,B003KWOOMK
36,356,,,"[""Orajel severe toothache pain relief gel delivers the highest concentration of pain medicine available without prescription for instant relief of your most painful toothaches. The severe formula also features menthol, which cools and soothes the affected area. The unique gel form is long-lasting and easy to apply so you get relief that lasts, where you need it most. Orajel severe toothache gel goes right to the source of your pain for instant, targeted relief. Don't trust your toothache pain to anything else.""]",,"Orajel Severe Toothache &amp; Gum Relief Plus, Cooling Gel, 0.25 Oz",['B00AQXD2HO'],"['https://images-na.ssl-images-amazon.com/images/I/61m2b6qNvNL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/519CqC4-EoL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61q2BTiIeIL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Rgb4oaW7L._SS40_.jpg']",,Orajel,,"75,479 in Beauty & Personal Care (","['B000052YE9', 'B0013J90AS', 'B002VPS446', 'B072K5332W', 'B07C91HY3D', 'B00433JHW2', 'B0013J908K', 'B000GGJDBK', 'B000Y1FY10', 'B00TKKB8H0', 'B01C9DJNG2', 'B005R1XJ3W', 'B00EP238NK', 'B0006GBEJ4', 'B01I9TI37K', 'B06Y2J8FNZ', 'B017GQYYXO', 'B07GXCV3VQ', 'B00LWQY9TY', 'B00ANL55Y2', 'B000GGJDD8', 'B06XKNZ9DH', 'B07KDPL12R', 'B00E4MRHPQ', 'B000GGKQKW', 'B002OTNYUS', 'B00PM7S5R6', 'B01C9DJPBA', 'B074TM5WZW', 'B00BL0FM9W', 'B00SVY6HX6', 'B075QDWKRL', 'B01C9EIUX8', 'B074F47C5T', 'B07DKMCDY5', 'B00JUA664K', 'B073SZPB9W', 'B015HKIJV4', 'B00CJF91VS', 'B01LZ0NK7S', 'B0045XA6JI', 'B073WH5DVR', 'B01C6QDDJ0', 'B003RP1BG2', 'B06XZBTQ2P', 'B001V9MWR8', 'B0744J8B8G', 'B000GGKQLG', 'B001GBH0HI', 'B004X8HMWY', 'B07BB7J993', 'B00SVY6KX8', 'B01M1MSSDE', 'B002OTNYMG', 'B07FC6QDL4', 'B07GV376G5']","{'\n    Product Dimensions: \n    ': '3.2 x 1.1 x 3.8 inches ; 0.32 ounces', 'Shipping Weight:': '0.3 ounces', 'Domestic Shipping: ': 'Item can be shipped within U.S.', 'International Shipping: ': 'This item is not eligible for international shipping.', 'ASIN: ': 'B003QYSO46', 'UPC:': '310310325039', 'Item model number:': '310310325039'}",All Beauty,,,,B003QYSO46
37,361,,,"['The Original Pashana hair lotion for the grooming and maintenance of healthy hair. With its classic masculine, musky aroma and sweet tobacco notes it is designed to stimulate and invigorate the scalp whilst giving a cooling sensation.']",,Pashana Original Lotion for the Hair (250ml),['B001AS5PV0'],,,Pashana,,"705,996 in Beauty & Personal Care (",,"{'\n    Item Weight: \n    ': '9.1 ounces', 'Shipping Weight:': '9.1 ounces (', 'ASIN: ': 'B003UGLFL4'}",All Beauty,,,$13.60,B003UGLFL4
38,368,,,"['Long lasting Lipstick locks colour to lips for up to 8 hours wear. 50% more colour. Soft, smooth, comfortable formula.']",,Rimmel Lasting Finish Lipstick Amethyst Shimmer,"['B001KYQ4EG', 'B006WZ9ZHQ']",['https://images-na.ssl-images-amazon.com/images/I/51dAKh-5VrL._SS40_.jpg'],,Rimmel,,"246,529 in Beauty & Personal Care (","['B00QIT6EBQ', 'B07M5JFHGS', 'B00GGQJ4PY', 'B0067JHQDM', 'B07BSYFK1D', 'B07M8PY3QW', 'B06XCNQYJC', 'B0047X594I', 'B00GEH7AZQ', 'B06XCQZDKV', 'B07BZLGBGV', 'B07G38B6F8', 'B07FCV46CX', 'B06XRXVSS3', 'B00QIT7M26', 'B01I9TMQYG', 'B004CWLK10', 'B00D3KXNNU', 'B00A90IX78', 'B07B5D37YR', 'B07F25WF9G']","{'\n    Product Dimensions: \n    ': '2.9 x 0.7 x 0.5 inches ; 0.8 ounces', 'Shipping Weight:': '0.8 ounces (', 'ASIN: ': 'B003ZC80HU', 'UPC:': '748616753599', 'Item model number:': '34002933084'}",All Beauty,,,$8.10,B003ZC80HU
39,389,,,"['Offering an innovative formula that features light-filtering technology, the Revlon PhotoReady Airbrush Effect makeup provides a poreless, even complexion. Offers medium to full coverage.']",,ENJOLI by Revlon - LIGHT COLOGNE SPRAY MIST 8 OZ (UNBOXED) FOR WOMEN,['B01BBUZZ4S'],,,Revlon,,"902,325 in Beauty & Personal Care (",['B004563TXK'],"{'\n    Product Dimensions: \n    ': '3.5 x 1.4 x 1.4 inches', 'Shipping Weight:': '6.4 ounces', 'ASIN: ': 'B0049BRNT2', 'UPC:': '309976918037', 'Item model number:': 'REVCOSC73918037'}",All Beauty,,,,B0049BRNT2
40,390,,,"[""LIP INK, the most versatile cosmetics you can wear and keep on wearing, regardless of your daily endeavors. We understand you want to look good but have a life to tend to. Hand-crafted in California with natural, organic, kosher, and vegan botanical ingredients LIP INK's 100% smearproof cosmetics are enjoyed by those who value their health and time as much as their appearance. The virtually impossible to smear lip color contains 40+ vitamins, minerals, herbs, antioxidants, and natural sun filters in a pure corn grain ethanol preservative-free base, leaving zero texture so you can always feel naturally beautiful. Unique to LIP INK, the Lip Shine Moisturizer is applied before the color leaving your lips feeling hydrated, sun-protected, and tingly fresh. Lip color that lasts through meals, drinks, kisses and more! LIP INK OFF Cleanser and Shine Moisturizer can be purchased separately or in Lip Stain Kits. May be covered by one or more of the following U.S. Patents: 5747017, 6001374, 6010709, 6027739, 6203809, 6395263, 6509009, AU 701794, AU 736718.""]",,LIP INK Organic Vegan 100% Smearproof Liquid Lipstick - Valentine Pink,['B005DMBC0C'],"['https://images-na.ssl-images-amazon.com/images/I/51XEjmk2NRL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51oaLozun6L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ygGnMfyqL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/416iJyBFk%2BL._SS40_.jpg']",,Lip Ink,,"1,134,841 in Beauty & Personal Care (",,"{'\n    Item Weight: \n    ': '2.08 ounces', 'Shipping Weight:': '2.1 ounces', 'ASIN: ': 'B0049XJRGW'}",All Beauty,,,,B0049XJRGW
41,403,,,"['La Prairie Cellular Radiance Emulsion SPF 30<br><br> Improves natural glow, prevents age spot and discoloration over time. Increases moisture and firmness so skin appears younger. SPF protects skin by minimizing aging and damages from the sun. Boost hydra']",,La Prairie Cellular Radiance Emulsion SPF 30 1.7 oz / 50 ml,['B007RLO8W6'],,,La Prairie,,"1,093,451 in Beauty & Personal Care (",,"{'Shipping Weight:': '11.2 ounces', 'ASIN: ': 'B004EHU1D6', 'Item model number:': '7611773001380'}",All Beauty,,,,B004EHU1D6
42,415,,,"['Long lasting Lipstick locks colour to lips for up to 8 hours wear. 50% more colour. Soft, smooth, comfortable formula.']",,Rimmel Lasting Finish Lipstick Airy Fairy,['B00GW58YC8'],,,Rimmel,,"381,923 in Beauty & Personal Care (","['B01I9TMQYG', 'B07M5JFHGS', 'B07KWWKYXM', 'B01N7PO5KW', 'B07F25WF9G', 'B00QIT7M26', 'B01LZ5THXR', 'B01LZ5TJUV', 'B07M8PY3QW', 'B00QIT6EBQ', 'B07GY7M5T7', 'B07B5D37YR', 'B07G38B6F8', 'B07KZ4S53Y', 'B07JCNQXFH', 'B07KP7NLLR']","{'\n    Product Dimensions: \n    ': '3.2 x 0.8 x 0.8 inches ; 0.48 ounces', 'Shipping Weight:': '0.8 ounces', 'ASIN: ': 'B004LXKY4E', 'Item model number:': '34002933070'}",All Beauty,,,,B004LXKY4E
